PlateID,Row,Column,Organism,Species,id,Tissue,Comments,QC,pop,Region,Subregion,lat,lon
1,A,1,Pocillopora,Meandrina,P ver 001,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,B,1,Pocillopora,Meandrina,P ver 002,unknown,none,Downshift,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,C,1,Pocillopora,Meandrina,P ver 003,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,D,1,Pocillopora,Meandrina,P ver 004,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,E,1,Pocillopora,Meandrina,P ver 005,unknown,none,Downshift,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,F,1,Pocillopora,Meandrina,P ver 006,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,G,1,Pocillopora,Meandrina,P ver 008,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,H,1,Pocillopora,Meandrina,P ver 009,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,A,2,Pocillopora,Meandrina,P ver 010,unknown,none,Downshift,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,B,2,Pocillopora,Meandrina,P ver 011,unknown,none,Downshift,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,C,2,Pocillopora,Meandrina,P ver 013,unknown,none,Downshift,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,D,2,Pocillopora,Meandrina,P ver 014,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
1,E,2,Pocillopora,Meandrina,P ver 029,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,F,2,Pocillopora,Meandrina,P ver 031,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,G,2,Pocillopora,Meandrina,P ver 035,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,H,2,Pocillopora,Meandrina,P ver 037,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,A,3,Pocillopora,Meandrina,P ver 039,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,B,3,Pocillopora,Meandrina,P ver 042,unknown,none,Downshift,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,C,3,Pocillopora,Meandrina,P ver 043,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
1,D,3,Pocillopora,Meandrina,P ver 347,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
1,E,3,Pocillopora,Meandrina,P ver 358,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
1,F,3,Pocillopora,Meandrina,P ver 361,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
1,G,3,Pocillopora,Meandrina,P ver 367,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
1,H,3,Pocillopora,Meandrina,P ver 371,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
1,A,4,Pocillopora,Meandrina,P ver 055,unknown,none,Pass,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,B,4,Pocillopora,Meandrina,P ver 056,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,C,4,Pocillopora,Meandrina,P ver 057,unknown,none,Pass,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,D,4,Pocillopora,Meandrina,P ver 059,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,E,4,Pocillopora,Meandrina,P ver 060,unknown,none,Fail,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,F,4,Pocillopora,Meandrina,P ver 061,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
1,G,4,Pocillopora,Meandrina,P ver 082,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,H,4,Pocillopora,Meandrina,P ver 084,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,A,5,Pocillopora,Meandrina,P ver 091,unknown,none,Downshift,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,B,5,Pocillopora,Meandrina,P ver 092,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,C,5,Pocillopora,Meandrina,P ver 095,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,D,5,Pocillopora,Meandrina,P ver 097,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
1,E,5,Pocillopora,Meandrina,P ver 284,unknown,none,Pass,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
1,F,5,Pocillopora,Meandrina,P ver 286,unknown,none,Pass,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
1,G,5,Pocillopora,Meandrina,P ver 290,unknown,none,Pass,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
1,H,5,Pocillopora,Meandrina,P ver 245,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
