PlateID,Row,Column,Organism,Species,id,Tissue,Comments,pop,Region,lat,lon
1,A,1,Pocillopora,Verrucosa,P ver 030,unknown,none,Wreck,Coral Sea,22.19267,155.33405
1,B,1,Pocillopora,Verrucosa,P ver 033,unknown,none,Wreck,Coral Sea,22.19267,155.33405
1,C,1,Pocillopora,Verrucosa,P ver 036,unknown,none,Wreck,Coral Sea,22.19267,155.33405
1,D,1,Pocillopora,Verrucosa,P ver 114,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,E,1,Pocillopora,Verrucosa,P ver 115,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,F,1,Pocillopora,Verrucosa,P ver 116,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,G,1,Pocillopora,Verrucosa,P ver 117,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,H,1,Pocillopora,Verrucosa,P ver 118,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,A,2,Pocillopora,Verrucosa,P ver 119,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,B,2,Pocillopora,Verrucosa,P ver 120,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,C,2,Pocillopora,Verrucosa,P ver 121,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,D,2,Pocillopora,Verrucosa,P ver 122,unknown,none,Flinders,Coral Sea,17.71357,148.43713
1,E,2,Pocillopora,Verrucosa,P ver 385,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,F,2,Pocillopora,Verrucosa,P ver 386,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,G,2,Pocillopora,Verrucosa,P ver 388,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,H,2,Pocillopora,Verrucosa,P ver 389,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,A,3,Pocillopora,Verrucosa,P ver 390,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,B,3,Pocillopora,Verrucosa,P ver 392,unknown,none,Osprey,Coral Sea,13.88078,146.5588
1,C,3,Pocillopora,Verrucosa,P ver 244,unknown,none,Moore,Coral Sea,15.89218,149.15359
1,D,3,Pocillopora,Verrucosa,P ver 261,unknown,none,Moore,Coral Sea,15.89218,149.15359
1,E,3,Pocillopora,Verrucosa,P ver 262,unknown,none,Moore,Coral Sea,15.89218,149.15359
1,F,3,Pocillopora,Verrucosa,P ver 264,unknown,none,Moore,Coral Sea,15.89218,149.15359
1,G,3,Pocillopora,Verrucosa,P ver 268,unknown,none,Moore,Coral Sea,15.89218,149.15359
1,H,3,Pocillopora,Verrucosa,P ver 348,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,A,4,Pocillopora,Verrucosa,P ver 350,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,B,4,Pocillopora,Verrucosa,P ver 352,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,C,4,Pocillopora,Verrucosa,P ver 354,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,D,4,Pocillopora,Verrucosa,P ver 359,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,E,4,Pocillopora,Verrucosa,P ver 360,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,F,4,Pocillopora,Verrucosa,P ver 362,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,G,4,Pocillopora,Verrucosa,P ver 363,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,H,4,Pocillopora,Verrucosa,P ver 364,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
1,A,5,Pocillopora,Verrucosa,P ver 081,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,B,5,Pocillopora,Verrucosa,P ver 083,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,C,5,Pocillopora,Verrucosa,P ver 088,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,D,5,Pocillopora,Verrucosa,P ver 090,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,E,5,Pocillopora,Verrucosa,P ver 093,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,F,5,Pocillopora,Verrucosa,P ver 098,unknown,none,Marion,Coral Sea,18.98541,152.34488
1,G,5,Pocillopora,Verrucosa,P ver 099,unknown,none,Marion,Coral Sea,18.98541,152.34488
