Reference,Vial,Species,mtORF,psba_Clade,psba_forwardQC,psba_reverseQC,psba_ID,mt_forwardQC,mt_reverseQC,mtorf_ID,sample_name,Reef,Site,DateCollect,catBleaching,Depth,DHW2020,Lat,Long,Exposure,Aspect,Sector,maxDHW,meanDHW,recent.maxDHW,recent.meanDHW,DHW2,DHW3,DHW4,DHW6,DHW8,DHW9,returnDHW3,returnDHW4,returnDHW6,meanSST,minSST,maxSST,rangeSST,varSST,Month,MMM
586,P ver 200,Unknown,Unknown,,,,,Bad,Bad,mtORF1_A01,Plate1_A007,Lihou,Lihou 1,4/3/2020,4,6.45,7.719999827,17.59707,151.48956,Sheltered,NW,Central,11.50999974,2.617777719,11.11999975,5.443999878,9,9,8,5,3,3,4.125,4.714285714,4,26.2792278,23.40461538,29.45730769,6.052692308,2.389980067,2,28.35
607,P ver 374,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_A02,Plate1_E010,Bougainville,Bougainville 1,10/3/2020,4,4.19,10,15.49273,147.08638,Sheltered,N,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
555,P ver 032,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_A03,Plate2_C002,Wreck,Wreck 2,20/2/2020,4,3.2,5.84999987,22.17814,155.17674,Sheltered,W,Southern,12.82999971,2.494722166,12.82999971,3.431999923,14,14,10,4,2,1,2.615384615,3.777777778,6,25.08226552,22.025,28.44461538,6.419615385,2.756198692,2,27.32
582,P ver 178,Unknown,Haplotype8a,PmeaC4,Bad,Bad,psba1_G03,Good,Good,mtORF1_A04,Plate2_E006,Chilcott,Chilcott 2,1/3/2020,5,5.16,6.649999851,16.9315,149.98988,Sheltered,NW,Central,9.679999784,1.939166623,9.679999784,5.409999879,10,10,6,3,3,1,3.666666667,6.6,2,26.53450512,23.68807692,29.59038462,5.902307692,2.2667553,2,28.54
594,P ver 267,Unknown,Unknown,,,,,Bad,Bad,mtORF1_A05,Plate2_H009,Moore,Moore 4,7/3/2020,3,7.1,9.09,15.96481,149.19427,Sheltered,W,Central,11.42,2.144722222,11.42,5.8,7,7,6,5,2,2,5.5,6.6,4.5,26.77784562,23.97192308,29.985,6.013076923,2.364033961,2,28.82
554,P ver 028,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_A06,Plate3_D001,Saumarez,Saumarez 7,18/2/2020,3,2,5.49999988,21.91194,153.59119,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
563,P ver 063,Unknown,Unknown,,,,,Good,Good,mtORF1_A07,Plate3_H002,Frederick,Frederick 2,22/2/2020,5,10.6,7,21.01043,154.34743,Semi-sheltered,W,Southern,12.54,2.359722222,12.54,4.414,10,10,5,4,2,1,3.777777778,4.5,5.333333333,25.45852955,22.48653846,28.80153846,6.315,2.625412176,2,27.69
605,P ver 357,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_A08,Plate4_E008,Bougainville,Bougainville 4,10/3/2020,4,8.39,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
376,P ver 284,Pmeandrina,Pmeandrina,,,,,Good,Good,mtORF1_A09,Plate4_C007,Holmes,Holmes 7,8/3/2020,5,8.39,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
503,P ver 287,Pverrucosa,Pverrucosa,,,,,Good,Good,mtORF1_A10,Plate4_F007,Holmes,Holmes 7,8/3/2020,5,5.48,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
